group	colour	showSelected3
1	#FFFFFF	correcte
2	#FFFFFF	correcte
2	#000000	erronée
3	#000000	erronée
3	#FFFFFF	correcte
4	#000000	erronée
5	#000000	erronée
6	#000000	erronée
7	#FFFFFF	correcte
7	#000000	erronée
8	#000000	erronée
9	#000000	erronée
10	#000000	erronée
10	#FFFFFF	correcte
11	#FFFFFF	correcte
12	#000000	erronée
13	#FFFFFF	correcte
14	#000000	erronée
15	#FFFFFF	correcte
15	#000000	erronée
16	#000000	erronée
16	#FFFFFF	correcte
17	#000000	erronée
18	#FFFFFF	correcte
19	#000000	erronée
20	#FFFFFF	correcte
21	#000000	erronée
22	#000000	erronée
23	#000000	erronée
23	#FFFFFF	correcte
24	#FFFFFF	correcte
24	#000000	erronée
25	#000000	erronée
26	#000000	erronée
26	#FFFFFF	correcte
27	#FFFFFF	correcte
28	#000000	erronée
29	#000000	erronée
29	#FFFFFF	correcte
30	#000000	erronée
31	#000000	erronée
32	#FFFFFF	correcte
33	#FFFFFF	correcte
33	#000000	erronée
34	#000000	erronée
35	#000000	erronée
36	#FFFFFF	correcte
37	#FFFFFF	correcte
37	#000000	erronée
38	#FFFFFF	correcte
39	#FFFFFF	correcte
39	#000000	erronée
40	#FFFFFF	correcte
40	#000000	erronée
41	#000000	erronée
41	#FFFFFF	correcte
42	#FFFFFF	correcte
42	#000000	erronée
43	#FFFFFF	correcte
44	#000000	erronée
45	#000000	erronée
46	#000000	erronée
46	#FFFFFF	correcte
47	#FFFFFF	correcte
47	#000000	erronée
48	#000000	erronée
49	#000000	erronée
50	#FFFFFF	correcte
50	#000000	erronée
51	#FFFFFF	correcte
52	#FFFFFF	correcte
52	#000000	erronée
53	#000000	erronée
53	#FFFFFF	correcte
54	#000000	erronée
55	#000000	erronée
56	#000000	erronée
57	#FFFFFF	correcte
57	#000000	erronée
58	#000000	erronée
59	#000000	erronée
60	#000000	erronée
60	#FFFFFF	correcte
61	#FFFFFF	correcte
62	#000000	erronée
63	#FFFFFF	correcte
64	#000000	erronée
65	#FFFFFF	correcte
65	#000000	erronée
66	#000000	erronée
66	#FFFFFF	correcte
67	#000000	erronée
68	#FFFFFF	correcte
69	#000000	erronée
70	#FFFFFF	correcte
71	#000000	erronée
72	#000000	erronée
73	#000000	erronée
73	#FFFFFF	correcte
74	#FFFFFF	correcte
74	#000000	erronée
75	#000000	erronée
76	#000000	erronée
76	#FFFFFF	correcte
77	#FFFFFF	correcte
78	#000000	erronée
79	#000000	erronée
79	#FFFFFF	correcte
80	#000000	erronée
81	#000000	erronée
82	#FFFFFF	correcte
83	#FFFFFF	correcte
83	#000000	erronée
84	#000000	erronée
85	#000000	erronée
86	#FFFFFF	correcte
87	#FFFFFF	correcte
87	#000000	erronée
88	#FFFFFF	correcte
89	#FFFFFF	correcte
89	#000000	erronée
90	#FFFFFF	correcte
90	#000000	erronée
91	#000000	erronée
91	#FFFFFF	correcte
92	#FFFFFF	correcte
92	#000000	erronée
93	#FFFFFF	correcte
94	#000000	erronée
95	#000000	erronée
96	#000000	erronée
96	#FFFFFF	correcte
97	#FFFFFF	correcte
97	#000000	erronée
98	#000000	erronée
99	#000000	erronée
100	#FFFFFF	correcte
100	#000000	erronée
