group	colour	showSelected3
1	#FFFFFF	correcte
1	#000000	erronée
2	#FFFFFF	correcte
3	#FFFFFF	correcte
3	#000000	erronée
4	#FFFFFF	correcte
5	#FFFFFF	correcte
6	#FFFFFF	correcte
7	#FFFFFF	correcte
8	#FFFFFF	correcte
9	#FFFFFF	correcte
10	#FFFFFF	correcte
11	#FFFFFF	correcte
11	#000000	erronée
12	#000000	erronée
12	#FFFFFF	correcte
13	#FFFFFF	correcte
13	#000000	erronée
14	#FFFFFF	correcte
15	#000000	erronée
15	#FFFFFF	correcte
16	#FFFFFF	correcte
17	#FFFFFF	correcte
18	#FFFFFF	correcte
19	#FFFFFF	correcte
20	#FFFFFF	correcte
21	#FFFFFF	correcte
22	#FFFFFF	correcte
23	#FFFFFF	correcte
23	#000000	erronée
24	#000000	erronée
25	#FFFFFF	correcte
26	#FFFFFF	correcte
27	#FFFFFF	correcte
28	#000000	erronée
28	#FFFFFF	correcte
29	#FFFFFF	correcte
30	#FFFFFF	correcte
31	#FFFFFF	correcte
32	#000000	erronée
32	#FFFFFF	correcte
33	#FFFFFF	correcte
34	#FFFFFF	correcte
35	#FFFFFF	correcte
36	#000000	erronée
36	#FFFFFF	correcte
37	#FFFFFF	correcte
38	#FFFFFF	correcte
39	#000000	erronée
39	#FFFFFF	correcte
40	#000000	erronée
40	#FFFFFF	correcte
41	#FFFFFF	correcte
42	#FFFFFF	correcte
43	#FFFFFF	correcte
43	#000000	erronée
44	#FFFFFF	correcte
45	#FFFFFF	correcte
46	#000000	erronée
47	#000000	erronée
47	#FFFFFF	correcte
48	#FFFFFF	correcte
49	#FFFFFF	correcte
50	#000000	erronée
50	#FFFFFF	correcte
51	#FFFFFF	correcte
51	#000000	erronée
52	#FFFFFF	correcte
53	#FFFFFF	correcte
53	#000000	erronée
54	#FFFFFF	correcte
55	#FFFFFF	correcte
56	#FFFFFF	correcte
57	#FFFFFF	correcte
58	#FFFFFF	correcte
59	#FFFFFF	correcte
60	#FFFFFF	correcte
61	#FFFFFF	correcte
61	#000000	erronée
62	#000000	erronée
62	#FFFFFF	correcte
63	#FFFFFF	correcte
63	#000000	erronée
64	#FFFFFF	correcte
65	#000000	erronée
65	#FFFFFF	correcte
66	#FFFFFF	correcte
67	#FFFFFF	correcte
68	#FFFFFF	correcte
69	#FFFFFF	correcte
70	#FFFFFF	correcte
71	#FFFFFF	correcte
72	#FFFFFF	correcte
73	#FFFFFF	correcte
73	#000000	erronée
74	#000000	erronée
75	#FFFFFF	correcte
76	#FFFFFF	correcte
77	#FFFFFF	correcte
78	#000000	erronée
78	#FFFFFF	correcte
79	#FFFFFF	correcte
80	#FFFFFF	correcte
81	#FFFFFF	correcte
82	#000000	erronée
82	#FFFFFF	correcte
83	#FFFFFF	correcte
84	#FFFFFF	correcte
85	#FFFFFF	correcte
86	#000000	erronée
86	#FFFFFF	correcte
87	#FFFFFF	correcte
88	#FFFFFF	correcte
89	#000000	erronée
89	#FFFFFF	correcte
90	#000000	erronée
90	#FFFFFF	correcte
91	#FFFFFF	correcte
92	#FFFFFF	correcte
93	#FFFFFF	correcte
93	#000000	erronée
94	#FFFFFF	correcte
95	#FFFFFF	correcte
96	#000000	erronée
97	#000000	erronée
97	#FFFFFF	correcte
98	#FFFFFF	correcte
99	#FFFFFF	correcte
100	#000000	erronée
100	#FFFFFF	correcte
