group	colour	showSelected3
1	#000000	erronée
2	#FFFFFF	correcte
2	#000000	erronée
3	#000000	erronée
4	#000000	erronée
5	#FFFFFF	correcte
6	#FFFFFF	correcte
7	#000000	erronée
8	#000000	erronée
9	#000000	erronée
10	#000000	erronée
11	#000000	erronée
11	#FFFFFF	correcte
12	#FFFFFF	correcte
12	#000000	erronée
13	#000000	erronée
14	#000000	erronée
14	#FFFFFF	correcte
15	#000000	erronée
16	#FFFFFF	correcte
16	#000000	erronée
17	#FFFFFF	correcte
17	#000000	erronée
18	#000000	erronée
18	#FFFFFF	correcte
19	#FFFFFF	correcte
19	#000000	erronée
20	#000000	erronée
20	#FFFFFF	correcte
21	#000000	erronée
22	#000000	erronée
23	#000000	erronée
24	#000000	erronée
24	#FFFFFF	correcte
25	#FFFFFF	correcte
25	#000000	erronée
26	#000000	erronée
27	#000000	erronée
28	#FFFFFF	correcte
29	#000000	erronée
30	#000000	erronée
31	#FFFFFF	correcte
31	#000000	erronée
32	#000000	erronée
33	#000000	erronée
33	#FFFFFF	correcte
34	#000000	erronée
35	#000000	erronée
35	#FFFFFF	correcte
36	#FFFFFF	correcte
36	#000000	erronée
37	#000000	erronée
37	#FFFFFF	correcte
38	#FFFFFF	correcte
38	#000000	erronée
39	#000000	erronée
40	#FFFFFF	correcte
40	#000000	erronée
41	#000000	erronée
42	#000000	erronée
42	#FFFFFF	correcte
43	#000000	erronée
43	#FFFFFF	correcte
44	#FFFFFF	correcte
44	#000000	erronée
45	#FFFFFF	correcte
46	#FFFFFF	correcte
46	#000000	erronée
47	#FFFFFF	correcte
47	#000000	erronée
48	#000000	erronée
49	#FFFFFF	correcte
49	#000000	erronée
50	#000000	erronée
51	#000000	erronée
52	#FFFFFF	correcte
52	#000000	erronée
53	#000000	erronée
54	#000000	erronée
55	#FFFFFF	correcte
56	#FFFFFF	correcte
57	#000000	erronée
58	#000000	erronée
59	#000000	erronée
60	#000000	erronée
61	#000000	erronée
61	#FFFFFF	correcte
62	#FFFFFF	correcte
62	#000000	erronée
63	#000000	erronée
64	#000000	erronée
64	#FFFFFF	correcte
65	#000000	erronée
66	#FFFFFF	correcte
66	#000000	erronée
67	#FFFFFF	correcte
67	#000000	erronée
68	#000000	erronée
68	#FFFFFF	correcte
69	#FFFFFF	correcte
69	#000000	erronée
70	#000000	erronée
70	#FFFFFF	correcte
71	#000000	erronée
72	#000000	erronée
73	#000000	erronée
74	#000000	erronée
74	#FFFFFF	correcte
75	#FFFFFF	correcte
75	#000000	erronée
76	#000000	erronée
77	#000000	erronée
78	#FFFFFF	correcte
79	#000000	erronée
80	#000000	erronée
81	#FFFFFF	correcte
81	#000000	erronée
82	#000000	erronée
83	#000000	erronée
83	#FFFFFF	correcte
84	#000000	erronée
85	#000000	erronée
85	#FFFFFF	correcte
86	#FFFFFF	correcte
86	#000000	erronée
87	#000000	erronée
87	#FFFFFF	correcte
88	#FFFFFF	correcte
88	#000000	erronée
89	#000000	erronée
90	#FFFFFF	correcte
90	#000000	erronée
91	#000000	erronée
92	#000000	erronée
92	#FFFFFF	correcte
93	#000000	erronée
93	#FFFFFF	correcte
94	#FFFFFF	correcte
94	#000000	erronée
95	#FFFFFF	correcte
96	#FFFFFF	correcte
96	#000000	erronée
97	#FFFFFF	correcte
97	#000000	erronée
98	#000000	erronée
99	#FFFFFF	correcte
99	#000000	erronée
100	#000000	erronée
