group	PANEL	fill	key	showSelected2	x	y
1	1	#A197CC	1	sous-entraînement	0.374229693294002	0.437640936245844
1	2	#A197CC	1	validation	0.234490329280894	0.675194020059693
2	1	#FF9E81	2	sous-entraînement	0.91610922861498	0.976138671139211
2	2	#A197CC	2	validation	0.527307280924274	0.349589567559831
3	1	#A197CC	3	sous-entraînement	0.986754048436329	0.338091214709136
3	2	#A197CC	3	validation	0.168952698841515	0.519231487673961
4	1	#A197CC	4	sous-entraînement	0.706306503961608	0.505184401110687
4	2	#A197CC	4	validation	0.980510642406212	0.16272565641587
5	1	#FF9E81	5	sous-entraînement	0.145895074493535	0.624266388290526
5	2	#FF9E81	5	validation	0.648323311790198	0.923404493675408
6	1	#FF9E81	6	sous-entraînement	0.153474516010967	0.752827244046849
6	2	#FF9E81	6	validation	0.174187752201852	0.967951903332682
7	1	#A197CC	7	sous-entraînement	0.351568900548219	0.362963296673401
7	2	#A197CC	7	validation	0.758636958584866	0.336714574884222
8	1	#A197CC	8	sous-entraînement	0.478058845613119	0.0890648267555427
8	2	#A197CC	8	validation	0.759472382818458	0.197603474050481
9	1	#A197CC	9	sous-entraînement	0.977950429681655	0.040519747967519
9	2	#A197CC	9	validation	0.701618864836997	0.700129037632462
10	1	#A197CC	10	sous-entraînement	0.768578697206314	0.637865588292572
10	2	#A197CC	10	validation	0.404744595997736	0.47839641389468
11	1	#A197CC	11	sous-entraînement	0.279294462541179	0.495700170840212
11	2	#FF9E81	11	validation	0.909407358000196	0.905177699703049
12	1	#FF9E81	12	sous-entraînement	0.116577269459148	0.156393905874994
12	2	#A197CC	12	validation	0.640944795658535	0.452834507673056
13	1	#A197CC	13	sous-entraînement	0.421747407896291	0.54405258461545
13	2	#A197CC	13	validation	0.262211131666854	0.696992326376745
14	1	#A197CC	14	sous-entraînement	0.38050624849667	0.127269442671487
14	2	#FF9E81	14	validation	0.00971211295257906	0.494613181951477
15	1	#A197CC	15	sous-entraînement	0.324135483075365	0.608870778633458
15	2	#A197CC	15	validation	0.835607821782687	0.23851781466943
16	1	#A197CC	16	sous-entraînement	0.570121101112105	-0.0673816533014411
16	2	#A197CC	16	validation	0.485088137492761	0.525580863261345
17	1	#FF9E81	17	sous-entraînement	0.110297897321705	0.67132087399248
17	2	#A197CC	17	validation	0.520116116680501	0.00351649445710275
18	1	#A197CC	18	sous-entraînement	0.591644247015485	0.593183485154705
